(-65.8033,1108.34)
(-65.8814,1108.26)
(-65.9596,1108.18)
(-66.0377,1108.11)
(-66.1159,1108.03)
(-66.194,1107.95)
(-66.2722,1107.87)
(-66.3503,1107.79)
(-66.4285,1107.71)
(-66.5066,1107.64)
(-66.5848,1107.56)
(-66.6629,1107.48)
(-66.7411,1107.4)
(-66.8192,1107.32)
(-66.8974,1107.25)
(-66.9755,1107.17)
(-67.0537,1107.09)
(-67.1318,1107.01)
(-67.21,1106.93)
(-67.2881,1106.85)
(-67.3663,1106.78)
(-67.4444,1106.7)
(-67.5226,1106.62)
(-67.6007,1106.54)
(-67.6789,1106.46)
(-67.757,1106.39)
(-67.8352,1106.31)
(-67.9133,1106.23)
(-67.9915,1106.15)
(-68.0697,1106.07)
(-68.1478,1106)
(-68.226,1105.92)
(-68.3041,1105.84)
(-68.3823,1105.76)
(-68.4604,1105.68)
(-68.5386,1105.6)
(-68.6167,1105.53)
(-68.6949,1105.45)
(-68.773,1105.37)
(-68.8512,1105.29)
(-68.9293,1105.21)
(-69.0075,1105.14)
(-69.0856,1105.06)
(-69.1638,1104.98)
(-69.2419,1104.9)
(-69.3201,1104.82)
(-69.3982,1104.74)
(-69.4764,1104.67)
(-69.5545,1104.59)
(-69.6327,1104.51)
(-69.7108,1104.43)
(-69.789,1104.35)
(-69.8671,1104.28)
(-69.9453,1104.2)
(-70.0234,1104.12)
(-70.1016,1104.04)
(-70.1797,1103.96)
(-70.2579,1103.88)
(-70.336,1103.81)
(-70.4142,1103.73)
(-70.4923,1103.65)
(-70.5705,1103.57)
(-70.6486,1103.49)
(-70.7268,1103.42)
(-70.8049,1103.34)
(-70.8831,1103.26)
(-70.9612,1103.18)
(-71.0394,1103.1)
(-71.1175,1103.03)
(-71.1957,1102.95)
(-71.2738,1102.87)
(-71.352,1102.79)
(-71.4302,1102.71)
(-71.5083,1102.63)
(-71.5865,1102.56)
(-71.6646,1102.48)
(-71.7428,1102.4)
(-71.8209,1102.32)
(-71.8991,1102.24)
(-71.9772,1102.17)
(-72.0554,1102.09)
(-72.1335,1102.01)
(-72.2117,1101.93)
(-72.2898,1101.85)
(-72.368,1101.77)
(-72.4461,1101.7)
(-72.5243,1101.62)
(-72.6024,1101.54)
(-72.6806,1101.46)
(-72.7587,1101.38)
(-72.8369,1101.31)
(-72.915,1101.23)
(-72.9932,1101.15)
(-73.0713,1101.07)
(-73.1495,1100.99)
(-73.2276,1100.92)
(-73.3058,1100.84)
(-73.3839,1100.76)
(-73.4621,1100.68)
(-73.5402,1100.6)
(-73.6184,1100.52)
(-73.6965,1100.45)
(-73.7747,1100.37)
(-73.8528,1100.29)
(-73.931,1100.21)
(-74.0091,1100.13)
(-74.0873,1100.06)
(-74.1654,1099.98)
(-74.2436,1099.9)
(-74.3217,1099.82)
(-74.3999,1099.74)
(-74.478,1099.66)
(-74.5562,1099.59)
(-74.6343,1099.51)
(-74.7125,1099.43)
(-74.7907,1099.35)
(-74.8688,1099.27)
(-74.947,1099.2)
(-75.0251,1099.12)
(-75.1033,1099.04)
(-75.1814,1098.96)
(-75.2596,1098.88)
(-75.3377,1098.81)
(-75.4159,1098.73)
(-75.494,1098.65)
(-75.5722,1098.57)
(-75.6503,1098.49)
(-75.7285,1098.41)
(-75.8066,1098.34)
(-75.8848,1098.26)
(-75.9629,1098.18)
(-76.0411,1098.1)
(-76.1192,1098.02)
(-76.1974,1097.95)
(-76.2755,1097.87)
(-76.3537,1097.79)
(-76.4318,1097.71)
(-76.51,1097.63)
(-76.5881,1097.55)
(-76.6663,1097.48)
(-76.7444,1097.4)
(-76.8226,1097.32)
(-76.9007,1097.24)
(-76.9789,1097.16)
(-77.057,1097.09)
(-77.1352,1097.01)
(-77.2133,1096.93)
(-77.2915,1096.85)
(-77.3696,1096.77)
(-77.4478,1096.7)
(-77.5259,1096.62)
(-77.6041,1096.54)
(-77.6822,1096.46)
(-77.7604,1096.38)
(-77.8385,1096.3)
(-77.9167,1096.23)
(-77.9948,1096.15)
(-78.073,1096.07)
(-78.1511,1095.99)
(-78.2293,1095.91)
(-78.3075,1095.84)
(-78.3856,1095.76)
(-78.4638,1095.68)
(-78.5419,1095.6)
(-78.6201,1095.52)
(-78.6982,1095.44)
(-78.7764,1095.37)
(-78.8545,1095.29)
(-78.9327,1095.21)
(-79.0108,1095.13)
(-79.089,1095.05)
(-79.1671,1094.98)
(-79.2453,1094.9)
(-79.3234,1094.82)
(-79.4016,1094.74)
(-79.4797,1094.66)
(-79.5579,1094.59)
(-79.636,1094.51)
(-79.7142,1094.43)
(-79.7923,1094.35)
(-79.8705,1094.27)
(-79.9486,1094.19)
(-80.0268,1094.12)
(-80.1049,1094.04)
(-80.1831,1093.96)
(-80.2612,1093.88)
(-80.3394,1093.8)
(-80.4175,1093.73)
(-80.4957,1093.65)
(-80.5738,1093.57)
(-80.652,1093.49)
(-80.7301,1093.41)
(-80.8083,1093.33)
